user,created,karma,submitted
jaman4dbz,1505153734.0,1.0,1.0
jameincke,1430492602.0,4.0,50.0
jamesaepp,1510173009.0,-2.0,1.0
jameshart,1301587210.0,5739.0,1267.0
jamesk_au,1375798496.0,374.0,84.0
jamesmp98,1472436598.0,490.0,272.0
jamieiles,1338560462.0,26.0,21.0
jankedeen,1488753906.0,-20.0,55.0
janlukacs,1328263296.0,244.0,132.0
jannettee,1487543635.0,34.0,8.0
janvdberg,1397479471.0,4435.0,265.0
janxgeist,1350047862.0,6.0,5.0
jaredsohn,1250755156.0,2365.0,1394.0
jarmitage,1365155092.0,1260.0,245.0
jashkenas,1174313863.0,21999.0,1522.0
jasonhoyt,1342774581.0,54.0,23.0
jasonjayr,1359210539.0,374.0,86.0
jasonshen,1221144243.0,5303.0,604.0
jasonsync,1421766919.0,253.0,64.0
jasonwelk,1462016317.0,17.0,27.0
jasonwilk,1252816341.0,1385.0,241.0
jastanton,1317160297.0,311.0,185.0
javiayala,1370453187.0,31.0,17.0
javiramos,1365721245.0,534.0,160.0
jaydestro,1504300136.0,0.0,10.0
jaysprout,1485377390.0,2.0,1.0
jaytaylor,1328032070.0,2743.0,892.0
jaywright,1509554783.0,1.0,2.0
jazzy1990,1512672550.0,1.0,1.0
jbaudanza,1279839698.0,1625.0,150.0
jbcornell,1499452222.0,2.0,2.0
jbeckmann,1511886993.0,1.0,1.0
jbmorgado,1455794462.0,611.0,586.0
jborrel00,1488218294.0,1.0,1.0
jbossmann,1421114241.0,1.0,1.0
jcahill84,1440759750.0,20.0,36.0
jcavalara,1501519677.0,1.0,2.0
jccalhoun,1349227425.0,1506.0,535.0
jcelerier,1456138518.0,574.0,278.0
jchassoul,1353522547.0,29.0,26.0
jcnhvnhck,1410365514.0,11.0,14.0
jcoffland,1422554189.0,3160.0,1242.0
jcookster,1274749676.0,5.0,16.0
jdalgetty,1249583936.0,173.0,110.0
jdavis703,1344430033.0,2598.0,930.0
jdietrich,1252861152.0,13631.0,1739.0
jdironman,1446728466.0,115.0,88.0
jdmoreira,1419680367.0,1707.0,170.0
jeandenis,1265833869.0,154.0,29.0
jeffb1976,1509643195.0,1.0,1.0
jeffdavis,1285456375.0,4291.0,1604.0
jeffnappi,1282258384.0,127.0,46.0
jellyd0ts,1487883754.0,11.0,2.0
jentulman,1288715675.0,761.0,190.0
jerkstate,1462790866.0,669.0,213.0
jernejzen,1501001430.0,15.0,21.0
jernfrost,1343055088.0,2875.0,510.0
jerrytsai,1363381173.0,56.0,29.0
jeshwanth,1467545636.0,155.0,35.0
jessicath,1493762506.0,3.0,6.0
jfoldager,1465304258.0,12.0,8.0
jfriedman,1353945301.0,4.0,4.0
jfuermann,1501602695.0,1.0,2.0
jgspotify,1485965697.0,3.0,2.0
jhanschoo,1389747959.0,443.0,217.0
jhchabran,1301512147.0,349.0,42.0
jhermanns,1488378518.0,1.0,2.0
jhildings,1419250375.0,173.0,157.0
jhirshman,1458101015.0,5.0,1.0
jiangplus,1474861176.0,1.0,2.0
jiggunjer,1501727114.0,67.0,103.0
jimbobjim,1359036368.0,7.0,7.0
jimjimjim,1413232459.0,964.0,304.0
jimmcslim,1367911079.0,969.0,394.0
jimmy2020,1495650025.0,21.0,19.0
jimnotgym,1463842615.0,1026.0,344.0
jimschley,1398090745.0,124.0,32.0
jincheker,1361123507.0,0.0,18.0
jinishans,1331684369.0,1.0,1.0
jinushaun,1279252008.0,2026.0,1047.0
jitendrac,1382446595.0,22.0,41.0
jkaljundi,1225225050.0,3997.0,764.0
jkarneges,1331672596.0,1252.0,411.0
jkarraker,1380733856.0,9.0,8.0
jkaufmann,1498683605.0,1.0,1.0
jkestelyn,1345054735.0,250.0,69.0
jlengrand,1337868740.0,443.0,221.0
