user,created,karma,submitted
changoplatanero,1491503742.0,23.0,2.0
chaosbutters314,1478800281.0,63.0,16.0
chaotic_clanger,1490014887.0,1.0,5.0
chestervonwinch,1375448367.0,843.0,353.0
chipotle_coyote,1337447818.0,1803.0,459.0
christianfaller,1485445312.0,1.0,1.0
chskfbsixbskffb,1480385397.0,1.0,1.0
citruscomputing,1474547924.0,15.0,7.0
cocktailpeanuts,1467329408.0,3537.0,839.0
coffeedoughnuts,1428829996.0,136.0,18.0
collinmanderson,1411746178.0,756.0,438.0
coloridostudios,1491560691.0,2.0,3.0
compliance_data,1472735625.0,26.0,5.0
contenttypegeek,1492528344.0,43.0,20.0
crankylinuxuser,1509398948.0,304.0,147.0
crawfordcomeaux,1304366845.0,313.0,273.0
crazyguyonabike,1491231497.0,3.0,2.0
crispyambulance,1453143296.0,2246.0,648.0
cunningfatalist,1458143302.0,5.0,5.0
dafrankenstein2,1439361848.0,24.0,65.0
dahoramanodoceu,1497875354.0,46.0,43.0
dandelion_lover,1392568915.0,1008.0,351.0
deathwarmedover,1300292562.0,109.0,39.0
dennisvdheijden,1377531851.0,5.0,8.0
dforrestwilson1,1451845190.0,609.0,189.0
diamondheadtech,1509608080.0,2.0,3.0
diamondlovesyou,1398288411.0,115.0,45.0
digitalengineer,1316719668.0,2766.0,1014.0
dirtylowprofile,1485946676.0,90.0,36.0
dismantlethesun,1471485931.0,639.0,275.0
dngerousminds87,1496810266.0,1.0,5.0
dontchooseanick,1494657892.0,7.0,2.0
dootdootskeltal,1478663489.0,6.0,3.0
dotnetisnotdead,1465968896.0,163.0,44.0
doubleunplussed,1480343363.0,168.0,52.0
douglasjsellers,1212352630.0,5.0,6.0
dreamthtwasrome,1496005588.0,0.0,16.0
dresr_throwaway,1504282570.0,2.0,3.0
dumbneurologist,1499988836.0,621.0,16.0
dwpdwpdwpdwpdwp,1399649925.0,60.0,21.0
eatbitseveryday,1448843461.0,565.0,223.0
elkhourygeorges,1361746642.0,16.0,23.0
enlightenedfool,1388797207.0,498.0,172.0
eric_Anderson86,1491978901.0,-1.0,2.0
erinaceousjones,1446757934.0,40.0,9.0
etherwhitelable,1501037844.0,2.0,1.0
evolutiongaming,1486025902.0,1.0,1.0
executesorder66,1440740538.0,840.0,444.0
explodingcamera,1459541750.0,23.0,19.0
externalreality,1433167172.0,79.0,18.0
extrememacaroni,1509804373.0,14.0,10.0
fabian_shipamax,1475264518.0,1.0,3.0
fabiospampinato,1474482167.0,17.0,17.0
fahayekwasright,1510854074.0,-5.0,27.0
fckurpropaganda,1506170420.0,-2.0,5.0
fil_a_del_fee_a,1471359291.0,21.0,64.0
flashplayer_exe,1501105795.0,1.0,2.0
floopidydoopidy,1438815583.0,14.0,71.0
forevercrashing,1481614604.0,4.0,5.0
forgetsusername,1435872155.0,2202.0,1307.0
fortysixpercent,1462201650.0,109.0,13.0
freddie_mercury,1449808754.0,158.0,37.0
frostymarvelous,1458772455.0,84.0,78.0
fundabulousrIII,1499783530.0,61.0,103.0
gagginaspinnata,1483607145.0,9.0,2.0
genericuser1234,1395141494.0,2.0,2.0
georgestephanis,1345563806.0,154.0,50.0
germainemalcolm,1340473308.0,30.0,21.0
getdatpapersong,1498715169.0,2.0,1.0
ghostbrainalpha,1367731421.0,720.0,313.0
gingerbread-man,1450728731.0,340.0,137.0
godzillabrennus,1392439984.0,1653.0,626.0
gopalakrishnans,1203522915.0,674.0,52.0
greendestiny_re,1456085157.0,30.0,42.0
greghendershott,1374783756.0,404.0,68.0
guiseppecalzone,1211499684.0,2293.0,293.0
hacktothefuture,1463453580.0,33.0,21.0
harrisonjackson,1354899531.0,69.0,13.0
haskellandchill,1492006387.0,130.0,84.0
hda_ycombinator,1491462513.0,1.0,2.0
heinrichhartman,1443431829.0,147.0,42.0
heliophobicdude,1451585286.0,12.0,6.0
hellogoodbyeeee,1462304354.0,356.0,116.0
hellohellojello,1507621599.0,2.0,1.0
heroprotagonist,1299479185.0,339.0,137.0
hiringthreadguy,1499100809.0,1.0,1.0
hn_throwaway_99,1487558946.0,2196.0,370.0
hnchiresnewgrad,1491236799.0,2.0,1.0
honestoHeminway,1497538161.0,62.0,273.0
hoorayimhelping,1443708661.0,1950.0,313.0
htglobalmarkets,1507220620.0,2.0,4.0
humaninstrument,1485154141.0,261.0,12.0
i-machine-learn,1494607765.0,13.0,10.0
i_have_to_speak,1378614828.0,264.0,165.0
ihateneckbeards,1503040464.0,83.0,10.0
im_ok_at_coding,1487577384.0,3.0,1.0
inconshreveable,1354081723.0,475.0,65.0
indescions_2017,1494979240.0,1609.0,385.0
intellectronica,1171989670.0,712.0,205.0
interrecruiting,1513188867.0,1.0,1.0
iovrthoughtthis,1411503294.0,65.0,41.0
iwebdevfromhome,1426627111.0,2.0,8.0
j05huaNathaniel,1490030204.0,-5.0,14.0
jacques_chester,1211977313.0,18700.0,6617.0
jaimemedicalbnb,1444541195.0,5.0,5.0
jamesrichardson,1441147721.0,2.0,14.0
jankovicsandras,1457100280.0,17.0,9.0
jasoncartwright,1207068370.0,1553.0,204.0
jasonkostempski,1294177817.0,3094.0,1271.0
jasonmotylinski,1356023448.0,8.0,14.0
jasonstandiford,1504288137.0,1.0,1.0
jasonthevillain,1404495944.0,243.0,89.0
jasonwatkinspdx,1212710643.0,4245.0,859.0
jeanvaljean2463,1469462984.0,11.0,4.0
jesus92gz-spain,1490965948.0,4.0,6.0
jesusthatsgreat,1377784470.0,50.0,21.0
jeybalachandran,1322351065.0,42.0,23.0
jmartinpetersen,1324402757.0,289.0,96.0
johanneskanybal,1387651978.0,118.0,89.0
johnchristopher,1311344710.0,3313.0,1762.0
johnwatson11218,1238605811.0,357.0,199.0
jonathan-kosgei,1473785497.0,121.0,87.0
jonathanehrlich,1287684758.0,703.0,89.0
jonathanpoulter,1421695200.0,60.0,35.0
jonathanstrange,1468234660.0,660.0,163.0
joshatidealspot,1485968247.0,12.0,5.0
joshuakcockrell,1451231496.0,65.0,10.0
jotadambalakiri,1455636148.0,7.0,9.0
juliansamarjiev,1494959899.0,11.0,16.0
junkscience2017,1509131517.0,216.0,120.0
justanotheratom,1298620223.0,314.0,77.0
kajecounterhack,1192428726.0,1417.0,791.0
kennycarruthers,1435680450.0,39.0,16.0
kevin_thibedeau,1403497132.0,3024.0,1443.0
kinkrtyavimoodh,1462474377.0,1659.0,377.0
krishnakulkarni,1509924735.0,1.0,1.0
l3YAVThwTjo1mjl,1487447540.0,1.0,1.0
lawrencegripper,1486458171.0,1.0,1.0
lazy_throwaway1,1502807285.0,1.0,1.0
lazycouchpotato,1509561634.0,2.0,2.0
leapmotion_alex,1429537405.0,3.0,25.0
legostormtroopr,1456725803.0,466.0,152.0
leroy_masochist,1412650421.0,1837.0,406.0
liamdanielduffy,1484971545.0,4.0,1.0
lifeisstillgood,1235641268.0,9362.0,4594.0
limaoscarjuliet,1385522676.0,252.0,85.0
lobster_johnson,1284054688.0,9077.0,3322.0
londons_explore,1473108469.0,866.0,410.0
lordCarbonFiber,1369406887.0,514.0,314.0
lostatseajoshua,1492614541.0,1.0,1.0
loudandskittish,1350099793.0,151.0,36.0
lsjdfkljdfwkwdf,1481644878.0,-4.0,49.0
manfredsinger11,1487597429.0,1.0,2.0
manishmarahatta,1495542793.0,-5.0,2.0
marcinkuzminski,1338042608.0,786.0,104.0
martijn_himself,1296558367.0,454.0,197.0
martinkallstrom,1239918186.0,1378.0,360.0
martytheartiste,1487011346.0,1.0,6.0
mathzthrowaway6,1502269810.0,2.0,5.0
mattbillenstein,1301990804.0,469.0,300.0
mattchamberlain,1512158670.0,1.0,2.0
matthewaveryusa,1401328243.0,532.0,133.0
